code,obs,N,K,prob,avg,sd
085620,12,15,1.2,0.75,0.0203977206934349,0.0241770614038579
005300,14,9,1.4,0.714285714285714,0.00721686549187936,0.0127282611022359
034310,15,3,1,0.666666666666667,0.00392066557907107,0.0174600281268474
079550,15,8,1.6,0.6,0.00616235351985767,0.0249041281405686
105190,12,14,1.3,0.666666666666667,0.00392562761801241,0.00834110331607237
001230,11,6,1.4,0.636363636363636,0.00377630086913767,0.0190241859151605
001440,13,5,0.6,0.615384615384615,0.0150616633110926,0.035055220330251
293180,14,3,1,0.714285714285714,0.00180546301909931,0.00497438190298394
000020,11,10,1.1,0.636363636363636,0.0143356052195035,0.0457667433639933
272580,11,15,1.2,0.818181818181818,5.34299924294404e-05,8.04061354760559e-05
049770,13,11,1.2,0.615384615384615,0.0101415123192104,0.0330934069479265
017810,12,6,0.5,0.583333333333333,0.00914128254911469,0.0287725448111895
008490,11,5,1.3,0.818181818181818,0.00583234545288537,0.0079519690919435
271980,15,3,1,0.533333333333333,-0.00381938637448146,0.0572702283855617
052690,11,16,1.5,0.636363636363636,0.00358799368188478,0.0270372190157304
012630,12,8,1,0.583333333333333,0.000572569706223103,0.0143608199093144
00680K,11,8,0.9,0.727272727272727,0.00995861747122846,0.0152445475390104
292150,12,5,0.7,0.666666666666667,0.00394078237672021,0.0113935700056799
003540,11,6,1.4,0.727272727272727,0.00863064492991115,0.0188067648885749
011930,17,6,0.8,0.529411764705882,-0.00653468552837033,0.0154704118840367
014820,11,7,0.6,0.636363636363636,0.00527558410802827,0.0196208019533461
298040,12,13,1.7,0.583333333333333,-0.00573777732947726,0.0353421955175467
108670,11,17,1.5,0.818181818181818,0.0193631566990283,0.0224305512879465
066575,20,5,0.6,0.55,-0.0005179964050817,0.02342216457328
003620,12,6,0.5,0.666666666666667,0.0374284643845209,0.0901542132137669
310970,21,3,0.9,0.666666666666667,0.000661273067412218,0.0110925469130819
001120,11,15,1.4,0.636363636363636,0.00356322611748264,0.0175861373964255
069660,12,9,0.9,0.75,-0.000148152285904146,0.0147836981161036
550057,13,5,1,0.769230769230769,0.0004709356797668,0.000385963918340951
298020,15,6,1,0.6,0.000698602044633982,0.0132050537866231
001820,11,3,1,0.545454545454545,-0.00315242569123067,0.0184872227281971
115390,11,14,1.7,0.636363636363636,-0.000275916846083907,0.0259440716304233
300720,11,6,1.4,0.818181818181818,0.00798150330847314,0.0172329557480492
315930,13,5,0.7,0.615384615384615,0.00460047624919701,0.0154541111362589
267260,12,9,0.7,0.75,0.0155170345281885,0.0343540923072695
026890,13,8,0.9,0.846153846153846,0.0213463934381986,0.0525655649944174
005180,11,7,0.5,0.636363636363636,0.00317790282382433,0.0164878722130124
145990,13,7,1,0.615384615384615,0.00217183472300023,0.0139034069135192
267270,17,9,1.6,0.705882352941177,0.00191008116736553,0.0277003216984971
